Year;ISO_Code;Tariffs;Regulatory trade barriers;Black market exchange rates;Controls of the movement of capital and people;Freedom to Trade Internationally;;
2017;ALB;9,01;7,71;10,00;6,66;8,34;;
2017;DZA;6,89;2,62;0,00;1,59;2,77;;
2017;AGO;7,07;3,72;0,00;2,04;3,21;;
2017;ARG;6,60;4,89;10,00;4,70;6,55;;
2017;ARM;8,63;7,36;10,00;6,83;8,20;;
2017;AUS;8,84;7,55;10,00;3,86;7,56;;
2017;AUT;8,23;8,24;10,00;5,91;8,09;;
2017;AZE;7,98;7,09;10,00;4,09;7,29;;
2017;BHS;3,35;7,41;10,00;5,38;6,54;;
2017;BHR;8,31;6,56;10,00;4,79;7,42;;
2017;BGD;6,31;3,13;10,00;4,38;5,95;;
2017;BRD;7,12;5,29;10,00;5,42;6,96;;
2017;BLR;7,89;7,95;10,00;1,27;6,78;;
2017;BEL;8,23;7,93;10,00;6,48;8,16;;
2017;BLZ;6,35;5,05;10,00;4,71;6,53;;
2017;BEN;6,81;4,94;10,00;2,59;6,08;;
2017;BTN;6,47;7,21;10,00;1,42;6,28;;
2017;BOL;8,00;3,91;10,00;6,22;7,03;;
2017;BIH;8,52;7,41;10,00;5,42;7,84;;
2017;BWA;5,04;7,47;10,00;7,26;7,44;;
2017;BRA;7,36;5,94;10,00;5,23;7,13;;
2017;BRN;9,62;3,82;10,00;5,20;7,16;;
2017;BGR;8,23;7,60;10,00;6,62;8,11;;
2017;BFA;7,03;4,43;10,00;4,51;6,49;;
2017;BDI;6,88;2,40;9,09;5,14;5,88;;
2017;KHM;7,65;4,65;10,00;7,05;7,34;;
2017;CMR;5,50;2,53;10,00;2,60;5,15;;
2017;CAN;7,00;7,90;10,00;6,75;7,91;;
2017;CPV;6,70;5,79;10,00;6,23;7,18;;
2017;CAF;4,49;2,78;10,00;1,49;4,69;;
2017;TCD;6,31;2,22;10,00;2,15;5,17;;
2017;CHL;9,78;6,99;10,00;6,57;8,34;;
2017;CHN;8,11;6,99;10,00;2,15;6,81;;
2017;COL;8,12;4,27;8,76;5,57;6,68;;
