"","year","exports_world","ccode","exports","imports_world","imports","Population","rgdpo","GDP_world","GDP","rgdo","country_trade","trade_to_GDP","wld_trade","WTS","D","CTS","WTS_pop","Lietal","Alcala","Frankel"
"1","1960",NA,"ABW",NA,NA,NA,54211,NA,1.36632e+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","1961",NA,"ABW",NA,NA,NA,55438,NA,1.4214e+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","1962",NA,"ABW",NA,NA,NA,56225,NA,1.52652e+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","1963",NA,"ABW",NA,NA,NA,56695,NA,1.64327e+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","1964",NA,"ABW",NA,NA,NA,57032,NA,1.80034e+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","1965",NA,"ABW",NA,NA,NA,57360,NA,1.96124e+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","1966",NA,"ABW",NA,NA,NA,57715,NA,2.12789e+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1967",NA,"ABW",NA,NA,NA,58055,NA,2.2641e+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1968",NA,"ABW",NA,NA,NA,58386,NA,2.44277e+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1969",NA,"ABW",NA,NA,NA,58726,NA,2.69039e+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","1970",NA,"ABW",NA,NA,NA,59063,420.7050171,2.9574e+12,NA,420705017.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","1971",NA,"ABW",NA,NA,NA,59440,458.9332275,3.26649e+12,NA,458933227.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","1972",NA,"ABW",NA,NA,NA,59840,500.6367798,3.76726e+12,NA,500636779.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","1973",NA,"ABW",NA,NA,NA,60243,546.1290283,4.59079e+12,NA,546129028.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","1974",NA,"ABW",NA,NA,NA,60528,595.7424316,5.29546e+12,NA,595742431.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","1975",NA,"ABW",NA,NA,NA,60657,649.8850098,5.89667e+12,NA,649885009.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
