year,Tariff_RES,iso3c
1970,,USA
1971,,USA
1972,,USA
1973,,USA
1974,,USA
1975,,USA
1976,,USA
1977,,USA
1978,,USA
1979,,USA
1980,95.8156433105469,USA
1981,95.6729202270508,USA
1982,94.9395065307617,USA
1983,95.4385528564453,USA
1984,95.1534042358398,USA
1985,94.9384384155274,USA
1986,94.8835678100586,USA
1987,94.8127899169922,USA
1988,94.877685546875,USA
1989,95.4954071044922,USA
1990,95.5307693481445,USA
1991,95.5885696411133,USA
1992,95.5910110473633,USA
1993,95.6140747070313,USA
1994,95.1858749389648,USA
1995,96.1329956054688,USA
1996,96.2707443237305,USA
1997,96.536262512207,USA
1998,96.7563705444336,USA
1999,97.0350341796875,USA
2000,97.1832962036133,USA
2001,97.1150436401367,USA
2002,97.177360534668,USA
2003,97.216064453125,USA
2004,97.3057403564453,USA
2005,97.3057403564453,USA
2006,,USA
1970,,GBR
1971,,GBR
1972,,GBR
1973,,GBR
1974,,GBR
1975,,GBR
1976,,GBR
1977,,GBR
1978,,GBR
1979,,GBR
1980,95.5786209106445,GBR
1981,95.5016860961914,GBR
1982,95.0593566894531,GBR
1983,94.8381881713867,GBR
1984,94.3405685424805,GBR
1985,94.3761138916016,GBR
1986,94.0364685058594,GBR
1987,93.4322204589844,GBR
1988,92.831916809082,GBR
1989,92.5623474121094,GBR
1990,91.8027877807617,GBR
1991,92.2437057495117,GBR
1992,92.116081237793,GBR
1993,91.6446990966797,GBR
1994,91.7345581054687,GBR
1995,91.3460311889648,GBR
1996,92.0786666870117,GBR
1997,92.1045913696289,GBR
1998,97.4062118530274,GBR
1999,97.577278137207,GBR
2000,97.7017440795898,GBR
2001,97.6651840209961,GBR
2002,97.5920562744141,GBR
2003,97.7017440795898,GBR
2004,96.604850769043,GBR
2005,97.8166580200195,GBR
2006,,GBR
1970,,AUT
1971,,AUT
1972,,AUT
1973,,AUT
1974,,AUT
1975,,AUT
1976,,AUT
1977,,AUT
1978,,AUT
1979,,AUT
1980,95.1803970336914,AUT
1981,95.4816284179688,AUT
1982,95.1803970336914,AUT
1983,94.8791732788086,AUT
1984,94.8791732788086,AUT
1985,95.1803970336914,AUT
1986,94.8791732788086,AUT
1987,94.276725769043,AUT
1988,93.9755020141602,AUT
1989,94.3627471923828,AUT
1990,94.8000030517578,AUT
1991,94.9166641235352,AUT
1992,95.033332824707,AUT
