Code;Country;From;To
004;Afghanistan;1940;
008;Albania;1940;
012;Algeria;1940;
016;American Samoa;1940;
020;Andorra;1940;
024;Angola;1940;
660;Anguilla;1940;
028;Antigua and Barbuda;1940;
032;Argentina;1940;
051;Armenia;1992;
533;Aruba;1940;
036;Australia;1940;
040;Austria;1940;
031;Azerbaijan;1992;
044;Bahamas;1940;
048;Bahrain;1940;
050;Bangladesh;1940;
052;Barbados;1940;
112;Belarus;1992;
056;Belgium;1940;
084;Belize;1940;
204;Benin;1940;
060;Bermuda;1940;
064;Bhutan;1940;
068;Bolivia (Plurinational State of);1940;
535;Bonaire, Sint Eustatius and Saba;2011;
070;Bosnia and Herzegovina;1992;
072;Botswana;1940;
074;Bouvet Island;1940;
076;Brazil;1940;
086;British Indian Ocean Territory;1940;
092;British Virgin Islands;1940;
096;Brunei Darussalam;1940;
100;Bulgaria;1940;
854;Burkina Faso;1940;
108;Burundi;1940;
132;Cabo Verde;1940;
116;Cambodia;1940;
120;Cameroon;1940;
124;Canada;1940;
136;Cayman Islands;1940;
140;Central African Republic;1940;
148;Chad;1940;
152;Chile;1940;
156;China;1940;
344;China, Hong Kong SAR;1940;
446;China, Macao SAR;1940;
158;China, Taiwan Province of;1940;
162;Christmas Island;1940;
166;Cocos (Keeling) Islands;1940;
170;Colombia;1940;
174;Comoros;1940;
178;Congo;1940;
184;Cook Islands;1940;
188;Costa Rica;1940;
384;Côte d'Ivoire;1940;
191;Croatia;1992;
192;Cuba;1940;
531;Curaçao;2011;
196;Cyprus;1940;
203;Czechia;1993;
200;Czechoslovakia;1940;1992
180;Dem. Rep. of the Congo;1940;
208;Denmark;1940;
262;Djibouti;1940;
212;Dominica;1940;
214;Dominican Republic;1940;
218;Ecuador;1940;
818;Egypt;1940;
222;El Salvador;1940;
226;Equatorial Guinea;1940;
232;Eritrea;1992;
233;Estonia;1992;
748;Eswatini;1940;
231;Ethiopia;1992;
230;Ethiopia (1991);1940;1991
238;Falkland Islands (Malvinas);1940;
234;Faroe Islands;1940;
242;Fiji;1940;
246;Finland;1940;
251;France;1940;
258;French Polynesia;1940;
260;French Southern Territories;1940;
266;Gabon;1940;
270;Gambia;1940;
268;Georgia;1992;
276;Germany;1990;
278;Germany, Democratic Republic of;1940;1989
280;Germany, Federal Republic of;1940;1989
288;Ghana;1940;
292;Gibraltar;1940;
300;Greece;1940;
304;Greenland;1940;
308;Grenada;1940;
316;Guam;1940;
320;Guatemala;1940;
324;Guinea;1940;
624;Guinea-Bissau;1940;
328;Guyana;1940;
332;Haiti;1940;
334;Heard Island and McDonald Islands;1940;
336;Holy See;1940;
340;Honduras;1940;
348;Hungary;1940;
352;Iceland;1940;
356;India;1940;
360;Indonesia;2003;
960;Indonesia (2002);1940;2002
364;Iran (Islamic Republic of);1940;
368;Iraq;1940;
372;Ireland;1940;
376;Israel;1940;
380;Italy;1940;
388;Jamaica;1940;
392;Japan;1940;
400;Jordan;1940;
398;Kazakhstan;1992;
404;Kenya;1940;
296;Kiribati;1940;
408;Korea, Dem. People's Rep. of;1940;
410;Korea, Republic of;1940;
414;Kuwait;1940;
417;Kyrgyzstan;1992;
418;Lao People's Dem. Rep.;1940;
428;Latvia;1992;
422;Lebanon;1940;
426;Lesotho;1940;
430;Liberia;1940;
434;Libya;1940;
440;Lithuania;1992;
442;Luxembourg;1940;
450;Madagascar;1940;
454;Malawi;1940;
458;Malaysia;1940;
462;Maldives;1940;
466;Mali;1940;
470;Malta;1940;
584;Marshall Islands;1982;
478;Mauritania;1940;
480;Mauritius;1940;
484;Mexico;1940;
583;Micronesia (Federated States of);1982;
496;Mongolia;1940;
499;Montenegro;2008;
500;Montserrat;1940;
504;Morocco;1940;
508;Mozambique;1940;
104;Myanmar;1940;
516;Namibia;1940;
520;Nauru;1940;
524;Nepal;1940;
528;Netherlands;1940;
530;Netherlands Antilles;1940;2010
540;New Caledonia;1940;
554;New Zealand;1940;
558;Nicaragua;1940;
562;Niger;1940;
566;Nigeria;1940;
570;Niue;1940;
574;Norfolk Island;1940;
807;North Macedonia;1992;
580;Northern Mariana Islands;1982;
579;Norway;1940;
512;Oman;1940;
582;Pacific Islands, Trust Territory;1940;1981
586;Pakistan;1940;
585;Palau;1982;
591;Panama;1981;
