Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Afghanistan; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;;;;;;;;;;;;;4,999117258;;;;5,496231479;5,496231479;;;;;5,720839255
Albania; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;;14,41172618;;;11,65207275;11,28083536;8,34560807;8,168406728;7,337261448;7,356788216;6,607231404;5,858025789;5,143008137;4,903908855;4,871445647;4,593728851;3,537896449;3,69336015;3,685976155;3,580773903;3,526354004;2,655281798;3,161622508
Algeria; World;Import;  All Products;MFN Weighted Average (%);;;;;;15,5002106;;;;16,92663645;17,25977704;;;15,16061542;12,99305217;11,97114569;;11,65540996;11,93215867;11,47377902;11,36573003;11,92793622;;;;;12,52023991;12,02108379;12,59873743;12,68623684;
Angola; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;;;;;;;;;;;;;;9,149432329;9,232147476;8,359603326;7,605537095;7,522487045;10,29924187;9,383298197;9,379806516;;7,680441837
Antigua and Barbuda; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;;;;20,30108155;15,38794046;;;;;12,17525462;13,34070483;14,89609044;;14,80299593;11,55941063;11,55941063;13,66493835;16,71770181;11,43071307;13,80841773;13,4368834;14,54189013;16,86217853
Argentina; World;Import;  All Products;MFN Weighted Average (%);;;;;;12,53088357;;11,40772365;13,40152263;13,92851764;15,66742526;14,756483;14,49415418;13,50582145;12,01338084;12,87379757;12,21249777;11,73877792;11,91596791;12,17134387;10,42576179;12,21252893;12,52417454;12,02534725;11,9227959;11,0080383;11,49921925;11,52661791;12,321839;14,67513833;12,41048647
Armenia; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;;;;;;2,431135452;;2,26503786;2,40790389;2,275164736;2,993012382;2,418605402;2,958510503;2,68694908;2,796567344;3,075486101;3,142920735;2,971777513;3,171721004;4,4953354;3,508438162;3,63527612;
Aruba; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;;;;;;;;;;;;;;;;9,9681454;9,518090925;9,69445209;;10,01850092;10,15830485;10,29854226;10,14913456
Australia; World;Import;  All Products;MFN Weighted Average (%);;;;19,86755609;;11,00675158;;;6,905177895;6,930325797;6,595703716;6,213039167;5,946239011;4,911380854;3,993190158;4,045835868;4,000578963;3,298904751;4,092954606;4,257795742;3,8777834;3,955556843;3,613964435;2,467991992;2,580472012;2,633964848;2,686645252;2,722148192;2,712533631;2,89718876;2,859453679
Azerbaijan; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;;;;;;;6,752631918;;;6,09259762;;5,952545242;5,783924714;6,26769066;;5,987237388;6,625545254;6,580987903;6,668113857;6,745473593;;;
