iso3c,year,lmf_port_eq_asst_stock,lmf_port_eq_liab_stock,lmf_port_dbt_asst,lmf_port_dbt_liab,lmf_fdi_asst_stock,lmf_fdi_asst_other,lmf_fdi_liab_stock,lmf_fdi_liab_other,lmf_debt_asst_stock,lmf_debt_liab_stock,lmf_nfa,lmf_nfa_gdp
AFG,1970,,,,,,,,,,,,
AFG,1971,,,,,,,,,,,,
AFG,1972,,,,,,,,,,,,
AFG,1973,,,,,,,,,,,,
AFG,1974,,,,,,,,,,,,
AFG,1975,,,,,,,,,,,,
AFG,1976,,,,,,,,,,,,
AFG,1977,,,,,,,,,,,,
AFG,1978,,,,,,,,,,,,
AFG,1979,,,,,,,,,,,,
AFG,1980,,,,,,,11,,,,,
AFG,1981,,,,,,,11,,,,,
AFG,1982,,,,,,,11,,,,,
AFG,1983,,,,,,,11,,,,,
AFG,1984,,,,,,,11,,,,,
AFG,1985,,,,,,,11,,,,,
AFG,1986,,,,,,,11,,,,,
AFG,1987,,,,,,,12,,,,,
AFG,1988,,,,,,,12,,,,,
AFG,1989,,,,,,,12,,,,,
AFG,1990,,,,,,,12,,,,,
AFG,1991,,,,,,,12,,,,,
AFG,1992,,,,,,,12,,,,,
AFG,1993,,,,,,,12,,,,,
AFG,1994,,,,,,,12,,,,,
AFG,1995,,,,,,,12,,,,,
AFG,1996,,,,,,,12,,,,,
AFG,1997,,,,,,,11,,,,,
AFG,1998,,,,,,,11,,,,,
AFG,1999,,,,,,,17,,,,,
AFG,2000,,,,,,,17,,,,,
AFG,2001,,,,,,,18,,,,,
AFG,2002,0,0,,,0,,68,,352,539,-91,-2.2
AFG,2003,0,0,,,0,,126,,246,640,-52,-1.1
AFG,2004,0,1,,,0,,313,,599,763,567,10.7
AFG,2005,0,5,,,0,,584,,777,866,566,9
AFG,2006,0,6,,,0,,822,,1026,969,818,11.6
AFG,2007,0,18,,,0,,1010,,1598,2015,711,8.1
AFG,2008,0,4,,,0,,1105,,1525,2060,788,7.5
AFG,2009,6,6,,,0,,1180,,2100,1170,3251,26
AFG,2010,8,6,,,0,,1392,,2433,1307,3911,24.5
AFG,2011,7,6,,,0,,1475,,3037,1215,5616,31.1
ALB,1970,,,,,,,,,,,,
ALB,1971,,,,,,,,,,,,
ALB,1972,,,,,,,,,,,,
ALB,1973,,,,,,,,,,,,
ALB,1974,,,,,,,,,,,,
ALB,1975,,,,,,,,,,,,
ALB,1976,,,,,,,,,,,,
ALB,1977,,,,,,,,,,,,
ALB,1978,,,,,,,,,,,,
ALB,1979,,,,,,,,,,,,
ALB,1980,,,,,,,,,,,,
ALB,1981,,,,,,,,,,,,
ALB,1982,,,,,,,,,,,,
ALB,1983,,,,,,,,,,,,
ALB,1984,,,,,,,,,,,,
ALB,1985,,,,,,,,,,,,
ALB,1986,,,,,,,,,,,,
ALB,1987,,,,,,,,,,,,
ALB,1988,,,,,,,,,,,,
ALB,1989,,,,,,,,,,,,
ALB,1990,,,,,,,,,,,,
ALB,1991,,,,,,,,,,,,
ALB,1992,,,,,,,,,,,,
ALB,1993,0,0,,,0,,60,,137,786,-562,-40.8
ALB,1994,0,0,,,0,,101,,203,883,-576,-25.9
ALB,1995,0,0,,,0,,155,,280,459,-93,-3.4
ALB,1996,0,0,,,0,,230,,381,493,-62,-2
ALB,1997,0,0,,,0,,259,,306,518,-161,-7.3
ALB,1998,0,3,,,0,,328,,394,626,-179,-6.6
ALB,1999,0,7,,,0,,361,,493,773,-160,-4.7
ALB,2000,0,10,,,0,,454,,513,1123,-459,-12.6
ALB,2001,0,14,,,0,,643,,667,1156,-405,-10
ALB,2002,0,16,,,0,,756,,666,1182,-449,-10.1
ALB,2003,0,19,,,0,,1099,,798,1553,-862,-15
ALB,2004,0,26,,,25,,1514,,975,1607,-790,-10.7
ALB,2005,0,28,,,21,,1538,,915,2101,-1329,-16.2
ALB,2006,0,34,,,38,,1943,,1247,2466,-1390,-15.4
ALB,2007,0,85,90,73,74,,2688,,1268,2885,-2212,-20.7
ALB,2008,1,100,154,103,147,,2903,,984,3864,-3414,-26.3
ALB,2009,0,97,149,105,167,,3256,,911,4227,-4189,-34.4
ALB,2010,1,97,241,489,154,,3558,,1200,4522,-4353,-36.6
ALB,2011,12,112,317,550,183,,3922,,1639,5160,-4967,-38.3
DZA,1970,0,0,,,5,,856,,185,940,-1457,-19.8
DZA,1971,0,0,,,6,,705,,203,1261,-1458,-19.5
DZA,1972,0,0,,,8,,725,,384,1550,-1597,-17.1
DZA,1973,0,0,,,9,,776,,549,2991,-2296,-19
DZA,1974,0,0,,,9,,1134,,1625,3366,-1412,-11.6
DZA,1975,0,0,,,43,,1253,,1125,4633,-3589,-23.3
DZA,1976,0,0,,,47,,1440,,1591,6114,-4153,-23.9
DZA,1977,0,0,,,57,,1619,,2027,10599,-8451,-40.2
DZA,1978,0,0,,,57,,1754,,2731,15734,-12719,-48.1
