iso3c,year,Exports_USD_constant,Imports_USD_constant,Penn_GDP_PPP_total
ABW,1950,,,
ABW,1951,,,
ABW,1952,,,
ABW,1953,,,
ABW,1954,,,
ABW,1955,,,
ABW,1956,,,
ABW,1957,,,
ABW,1958,,,
ABW,1959,,,
ABW,1960,,,
ABW,1961,,,
ABW,1962,,,
ABW,1963,,,
ABW,1964,,,
ABW,1965,,,
ABW,1966,,,
ABW,1967,,,
ABW,1968,,,
ABW,1969,,,
ABW,1970,,,427.473602294922
ABW,1971,,,466.320007324219
ABW,1972,,,508.698638916016
ABW,1973,,,554.925476074219
ABW,1974,,,605.343994140625
ABW,1975,,,660.362731933594
ABW,1976,,,720.381164550781
ABW,1977,,,785.852966308594
ABW,1978,,,857.273254394531
ABW,1979,,,935.179443359375
ABW,1980,,,1020.15832519531
ABW,1981,,,1112.88098144531
ABW,1982,,,1214.06518554688
ABW,1983,,,1324.3291015625
ABW,1984,,,1444.72631835938
ABW,1985,,,1576.16357421875
ABW,1986,,,1718.91162109375
ABW,1987,,,1995.84631347656
ABW,1988,,,2368.81103515625
ABW,1989,,,2514.01147460938
ABW,1990,,,2823.240234375
ABW,1991,,,2614.46411132813
ABW,1992,,,3294.3779296875
ABW,1993,,,3637.5888671875
ABW,1994,,,4126.53076171875
ABW,1995,,,4030.61474609375
ABW,1996,,,4156.23974609375
ABW,1997,,,4404.5537109375
ABW,1998,,,4518.8740234375
ABW,1999,,,4348.49560546875
ABW,2000,,,3892.32348632813
ABW,2001,,,4312.86328125
ABW,2002,,,3251.35205078125
ABW,2003,,,3331.43383789063
ABW,2004,,,3727.60400390625
ABW,2005,,,3958.794921875
ABW,2006,,,4168.10546875
ABW,2007,,,4233.91845703125
ABW,2008,,,4455.19775390625
ABW,2009,,,4180.31884765625
ABW,2010,1459217877.09497,1854189944.13408,3767.7861328125
ABW,2011,,,3566.13354492188
ABW,2012,,,3586.5458984375
ABW,2013,,,4217.46826171875
ABW,2014,,,3827.77197265625
ABW,2015,,,3681.43041992188
ABW,2016,,,3101.27978515625
ABW,2017,,,3144.35498046875
ABW,2018,,,
ABW,2019,,,
AFG,1960,,,
AFG,1961,,,
AFG,1962,,,
AFG,1963,,,
AFG,1964,,,
AFG,1965,,,
AFG,1966,,,
AFG,1967,,,
AFG,1968,,,
AFG,1969,,,
AFG,1970,,,
AFG,1971,,,
AFG,1972,,,
AFG,1973,,,
AFG,1974,,,
AFG,1975,,,
AFG,1976,,,
AFG,1977,,,
AFG,1978,,,
AFG,1979,,,
AFG,1980,,,
AFG,1981,,,
AFG,1982,,,
AFG,1983,,,
AFG,1984,,,
AFG,1985,,,
AFG,1986,,,
AFG,1987,,,
AFG,1988,,,
AFG,1989,,,
AFG,1990,,,
AFG,1991,,,
AFG,1992,,,
AFG,1993,,,
AFG,1994,,,
AFG,1995,,,
AFG,1996,,,
AFG,1997,,,
AFG,1998,,,
AFG,1999,,,
AFG,2000,,,
AFG,2001,,,
AFG,2002,,,
AFG,2003,,,
AFG,2004,,,
AFG,2005,,,
AFG,2006,,,
AFG,2007,,,
AFG,2008,,,
AFG,2009,,,
AFG,2010,2945227257.64192,9950050421.39738,
AFG,2011,,,
AFG,2012,,,
AFG,2013,,,
AFG,2014,,,
AFG,2015,,,
AFG,2016,,,
AFG,2017,,,
AFG,2018,,,
AFG,2019,,,
AGO,1950,,,
AGO,1951,,,
AGO,1952,,,
AGO,1953,,,
AGO,1954,,,
AGO,1955,,,
AGO,1956,,,
AGO,1957,,,
AGO,1958,,,
AGO,1959,,,
AGO,1960,,,
AGO,1961,,,
AGO,1962,,,
AGO,1963,,,
AGO,1964,,,
AGO,1965,,,
AGO,1966,,,
AGO,1967,,,
AGO,1968,,,
AGO,1969,,,
AGO,1970,,,25047.0546875
AGO,1971,,,26741.970703125
AGO,1972,,,26411.1796875
AGO,1973,,,28287.44921875
AGO,1974,,,28453.0703125
AGO,1975,,,26671.63671875
AGO,1976,,,25936.326171875
AGO,1977,,,27101.01953125
AGO,1978,,,24654.34765625
AGO,1979,,,24989.89453125
AGO,1980,,,25335.568359375
AGO,1981,,,25177.26171875
AGO,1982,,,25342.080078125
AGO,1983,,,25404.66015625
AGO,1984,,,27815.412109375
AGO,1985,,,28720.04296875
AGO,1986,,,25545.134765625
AGO,1987,,,28712.1640625
AGO,1988,,,27054.46875
AGO,1989,,,28780.716796875
AGO,1990,,,31362.8203125
AGO,1991,,,29120.740234375
AGO,1992,,,34297.2109375
AGO,1993,,,29552.376953125
AGO,1994,,,31480.658203125
AGO,1995,,,28140.107421875
AGO,1996,,,35910.44921875
AGO,1997,,,36771.96484375
AGO,1998,,,38671.37890625
AGO,1999,,,37661.81640625
AGO,2000,5939008186.97054,4267996118.3158,32316.541015625
AGO,2001,10734934797.6174,10941978660.9548,34724.8828125
AGO,2002,26838176775.6342,22834202903.1205,39094.16796875
AGO,2003,26489280477.551,25046837164.4329,42965.86328125
AGO,2004,29956727293.4402,26832676652.9623,51902.34375
AGO,2005,36825804856.7324,30039181511.7636,70721.609375
AGO,2006,42088212372.4559,31946669537.0915,94126.828125
AGO,2007,49058020342.9569,34374616423.8749,107016.71875
AGO,2008,54267982103.7365,40620484227.3826,132309.03125
AGO,2009,52829598987.6446,40427766592.5416,101159.71875
AGO,2010,51572818660.8665,35682259098.1843,139946.859375
AGO,2011,48930175170.3406,39589481387.0111,176579.546875
AGO,2012,51474477980.8502,39554065387.2082,195075.0625
AGO,2013,50870218693.552,41285999311.6733,199957.703125
AGO,2014,51228666700.4102,39156268358.9078,193347.796875
AGO,2015,43703522520.3665,29793878813.0036,154071.359375
AGO,2016,35664030276.7223,22423200602.9091,151165.046875
AGO,2017,44417294584.0136,24942021221.6459,148737.671875
AGO,2018,,,
AGO,2019,,,
ALB,1950,,,
ALB,1951,,,
ALB,1952,,,
ALB,1953,,,
ALB,1954,,,
ALB,1955,,,
ALB,1956,,,
ALB,1957,,,
ALB,1958,,,
ALB,1959,,,
ALB,1960,,,
ALB,1961,,,
ALB,1962,,,
ALB,1963,,,
ALB,1964,,,
ALB,1965,,,
ALB,1966,,,
ALB,1967,,,
ALB,1968,,,
ALB,1969,,,
ALB,1970,,,6082.04736328125
ALB,1971,,,6319.2265625
ALB,1972,,,6580.30859375
ALB,1973,,,6844.45361328125
ALB,1974,,,7133.58740234375
ALB,1975,,,7414.6123046875
ALB,1976,,,7683.39697265625
ALB,1977,,,8009.06494140625
ALB,1978,,,8364.1083984375
ALB,1979,,,8591.6806640625
ALB,1980,,,9050.2607421875
ALB,1981,,,9419.8798828125
ALB,1982,,,9451.462890625
ALB,1983,,,9761.046875
ALB,1984,,,9857.578125
ALB,1985,,,9950.552734375
ALB,1986,,,10453.986328125
ALB,1987,,,10643.7578125
ALB,1988,,,10427.640625
ALB,1989,,,11289.35546875
ALB,1990,,,10961.4580078125
ALB,1991,,,9767.6796875
ALB,1992,,,8803.7119140625
ALB,1993,,,10136.9638671875
ALB,1994,,,11463.7626953125
ALB,1995,,,12363.16796875
ALB,1996,379926688.821241,1163340524.59004,13629.205078125
ALB,1997,310490867.492043,1062239124.11821,12722.6298828125
ALB,1998,442136335.297355,1452047810.00689,14037.0654296875
ALB,1999,746965556.821287,1703248557.77187,14938.744140625
ALB,2000,1014568730.49288,2370043082.1156,15043.4267578125
ALB,2001,1138195979.46437,2616967227.07348,15638.2744140625
ALB,2002,1217136323.75183,2921651649.47025,15931.5009765625
ALB,2003,1397575588.53299,3192959749.42369,16523.421875
ALB,2004,1636958541.9545,3540943469.27544,16953.076171875
ALB,2005,1991451831.1198,4017748084.40546,18230.447265625
ALB,2006,2115910236.45229,4374619608.72226,19681.896484375
ALB,2007,2562525040.31311,5344603314.14211,21020.666015625
ALB,2008,2543584442.98629,5749040281.36437,23369.837890625
ALB,2009,2799727429.46648,5825579970.05861,25039.591796875
ALB,2010,3337095377.55781,5792202154.39442,28066.546875
ALB,2011,3559816195.28866,6150523397.00047,29307.56640625
ALB,2012,3570267490.50381,5738798342.06303,30376.1015625
ALB,2013,3626998818.50824,5701861907.85904,29031.740234375
ALB,2014,3668810926.68209,5944692234.86671,30528.970703125
ALB,2015,3704374598.31205,5773770209.47426,32826.17578125
ALB,2016,4124472850.70486,6173322050.7926,32826.1640625
ALB,2017,4658314603.93087,6671154186.59873,34989.94140625
ALB,2018,4807222205.11775,6929359685.34604,
ALB,2019,,,
AND,1960,,,
AND,1961,,,
AND,1962,,,
AND,1963,,,
AND,1964,,,
AND,1965,,,
AND,1966,,,
AND,1967,,,
AND,1968,,,
AND,1969,,,
AND,1970,,,
AND,1971,,,
AND,1972,,,
AND,1973,,,
AND,1974,,,
AND,1975,,,
AND,1976,,,
AND,1977,,,
AND,1978,,,
AND,1979,,,
AND,1980,,,
AND,1981,,,
AND,1982,,,
AND,1983,,,
AND,1984,,,
AND,1985,,,
AND,1986,,,
AND,1987,,,
AND,1988,,,
AND,1989,,,
AND,1990,,,
AND,1991,,,
AND,1992,,,
AND,1993,,,
AND,1994,,,
AND,1995,,,
AND,1996,,,
AND,1997,,,
AND,1998,,,
AND,1999,,,
AND,2000,,,
AND,2001,,,
AND,2002,,,
AND,2003,,,
AND,2004,,,
AND,2005,,,
AND,2006,,,
AND,2007,,,
AND,2008,,,
AND,2009,,,
AND,2010,,,
AND,2011,,,
AND,2012,,,
AND,2013,,,
AND,2014,,,
AND,2015,,,
AND,2016,,,
AND,2017,,,
AND,2018,,,
AND,2019,,,
ARE,1950,,,
ARE,1951,,,
ARE,1952,,,
ARE,1953,,,
ARE,1954,,,
ARE,1955,,,
ARE,1956,,,
ARE,1957,,,
ARE,1958,,,
ARE,1959,,,
ARE,1960,,,
ARE,1961,,,
ARE,1962,,,
ARE,1963,,,
ARE,1964,,,
ARE,1965,,,
ARE,1966,,,
ARE,1967,,,
ARE,1968,,,
ARE,1969,,,
ARE,1970,,,60616.16796875
ARE,1971,,,69312.765625
ARE,1972,,,64945.77734375
ARE,1973,,,73624.375
ARE,1974,,,72914.171875
ARE,1975,,,93232.15625
ARE,1976,,,112239.21875
ARE,1977,,,146618.734375
ARE,1978,,,140843.6875
ARE,1979,,,168775.546875
ARE,1980,,,264067
ARE,1981,,,247751.96875
ARE,1982,,,225910.734375
ARE,1983,,,208475.328125
ARE,1984,,,210128.3125
ARE,1985,,,194064.390625
ARE,1986,,,161217.859375
ARE,1987,,,139101.71875
ARE,1988,,,154897.890625
ARE,1989,,,179422.234375
ARE,1990,,,211259.578125
ARE,1991,,,196790.875
ARE,1992,,,205706.53125
ARE,1993,,,163644.078125
ARE,1994,,,174871
ARE,1995,,,192758.953125
ARE,1996,,,204597.796875
ARE,1997,,,219074.09375
ARE,1998,,,209033.046875
ARE,1999,,,225689.5625
ARE,2000,,,276503.46875
ARE,2001,97554285064.6698,70576260258.6794,283097.125
ARE,2002,100627643784.888,79707651953.71,283349.78125
ARE,2003,123681634336.283,92451884547.3111,311839.9375
ARE,2004,154038530319.946,119945169448.604,336112.09375
ARE,2005,171725627746.767,137858554717.495,404897.9375
ARE,2006,191527730047.651,162942321443.159,479286.3125
ARE,2007,208443584424.779,219093072756.978,526311.5
ARE,2008,234364012280.463,265974850211.028,577371.375
ARE,2009,224288104452.008,224338361933.288,481391.65625
ARE,2010,238328114363.513,178610755616.065,493821.15625
ARE,2011,276618443616.841,212560257876.316,581796.5
ARE,2012,324899395463.943,230764453235.745,641633.375
ARE,2013,344697128193.223,249285984897.987,670902.5625
ARE,2014,350908898904.324,273877528217.062,713277.75
ARE,2015,369123708931.842,258206735398.742,617637.5625
ARE,2016,381692661333.394,265057017908.422,607048.125
ARE,2017,392592148886.391,272883866575.902,615713.6875
ARE,2018,395892718227.289,264151395507.148,
ARE,2019,,,
ARG,1950,,,44616.00390625
ARG,1951,,,45716.78125
ARG,1952,,,41715.0703125
ARG,1953,,,44491.734375
ARG,1954,,,46532.05078125
ARG,1955,,,49922.39453125
ARG,1956,,,51232.21484375
ARG,1957,,,53921.76171875
ARG,1958,,,58018.5703125
ARG,1959,,,54655.98828125
ARG,1960,5743773673.33283,6275715028.61355,58812.7734375
ARG,1961,5132717042.19282,7416445024.92171,60724.015625
ARG,1962,7454679354.06375,7416445024.92171,61832.53125
ARG,1963,7454679354.06375,5704477582.9356,59645.05859375
ARG,1964,6843644533.91513,6846080048.03179,62665.375
ARG,1965,7454679354.06375,6846080048.03179,70379.9921875
ARG,1966,8676757095.58632,6275723236.58213,71934.1171875
ARG,1967,8676757095.58632,6275723236.58213,74367.8984375
ARG,1968,8065726326.05042,6846080048.03179,76551.140625
ARG,1969,9776634032.08768,8557161752.38939,84110.9765625
ARG,1970,9893963819.55855,6944666554.43537,86579.46875
ARG,1971,8911399792.97521,7772035361.80539,89191.328125
ARG,1972,9092264323.28585,7393555509.63267,90744.7265625
ARG,1973,10363234673.6754,7296734141.76416,95838.8125
ARG,1974,10387664801.6236,7692822595.78282,100340.453125
ARG,1975,9422218768.12232,7833640163.907,99074.3046875
ARG,1976,12391881319.1621,6187706807.56162,99264.0703125
ARG,1977,15777067196.4903,8484999503.82012,106117.203125
ARG,1978,17182373156.6199,8044890183.11161,104502.4765625
ARG,1979,16632451280.302,12436956495.9695,111184.296875
ARG,1980,15777067196.4903,18202260569.9519,111813.9609375
ARG,1981,16598091023.4178,16702590109.716,112691.0078125
ARG,1982,17253143384.2704,9590631801.05711,118223.1875
ARG,1983,17698724074.2877,8926602759.87281,128109.8515625
ARG,1984,17240062034.4558,9346609362.0138,136512.9375
ARG,1985,19921585394.4031,8128005008.90699,133327.234375
ARG,1986,17875570604.5354,9580271601.00617,148334.6875
ARG,1987,17253143384.2704,10680581859.9004,157959.015625
ARG,1988,20482856879.7496,9697109057.22425,168224.53125
ARG,1989,22004799453.271,8095467813.28796,161921.140625
ARG,1990,25968216627.4092,7941660645.75833,181775.828125
ARG,1991,25027090969.096,14299412591.6987,213986.5
ARG,1992,24769388405.0964,23691833236.8629,252071.640625
ARG,1993,25756002356.8724,27199790380.1909,289539.46875
ARG,1994,29695529464.3183,32947387156.501,337477.21875
ARG,1995,36385381307.3708,29716358765.2826,378327.09375
ARG,1996,39167696785.6267,34925366306.9393,489127.03125
ARG,1997,43937319883.7772,44310354661.9124,504991.6875
ARG,1998,48604954076.4381,48038596282.0621,503958.1875
ARG,1999,47992396563.0453,42626198507.0667,474434.9375
ARG,2000,49289338916.5561,42559032988.0605,471358
ARG,2001,50640355142.009,36623502524.091,443034.46875
ARG,2002,52206638632.5193,18289940526.9557,379488.25
ARG,2003,55336618844.529,25160624642.2197,411725.46875
ARG,2004,59826719523.6325,35255515116.4463,450377.65625
ARG,2005,67536487416.1127,40842890904.523,489787.65625
ARG,2006,71292328739.2415,45332285481.5857,532171.125
ARG,2007,77112956639.8029,54235675229.3107,585903.375
ARG,2008,77683495718.0705,61591218916.5476,625483.6875
ARG,2009,70422336693.7513,50248309418.1331,583469.0625
ARG,2010,80208867995.7171,67937933972.3653,653054.75
ARG,2011,83536585369.3008,82903720962.9075,709658.875
ARG,2012,80104642370.9845,78983814819.8065,714301.875
ARG,2013,77284766433.7049,82050662341.2375,719807.625
ARG,2014,71890933183.0461,72631250477.273,697732.5625
ARG,2015,69894253858.4586,76053140241.0912,712662.625
ARG,2016,73610778836.9358,80482599119.1733,705317.1875
ARG,2017,74874747888.2482,92841666988.2535,728999.375
ARG,2018,74382464868.6945,88447333124.5728,
ARG,2019,,,
ARM,1950,,,
ARM,1951,,,
ARM,1952,,,
ARM,1953,,,
ARM,1954,,,
ARM,1955,,,
ARM,1956,,,
ARM,1957,,,
ARM,1958,,,
ARM,1959,,,
ARM,1960,,,
ARM,1961,,,
ARM,1962,,,
ARM,1963,,,
ARM,1964,,,
ARM,1965,,,
ARM,1966,,,
ARM,1967,,,
ARM,1968,,,
ARM,1969,,,
ARM,1970,,,
ARM,1971,,,
ARM,1972,,,
ARM,1973,,,
ARM,1974,,,
ARM,1975,,,
ARM,1976,,,
ARM,1977,,,
ARM,1978,,,
ARM,1979,,,
ARM,1980,,,
ARM,1981,,,
ARM,1982,,,
ARM,1983,,,
ARM,1984,,,
ARM,1985,,,
ARM,1986,,,
ARM,1987,,,
ARM,1988,,,
ARM,1989,,,
ARM,1990,,,22040.22265625
ARM,1991,,,19958.796875
ARM,1992,,,11433.279296875
ARM,1993,,,11008.3994140625
ARM,1994,1235717831.10257,2617439515.02575,8579.7119140625
ARM,1995,640401408.604957,1851131324.07256,8925.9111328125
ARM,1996,690724498.341023,1843297875.89377,9832.01953125
ARM,1997,643201844.608781,2062857049.25158,10226.1748046875
ARM,1998,642750927.029063,1956026325.61693,9332.791015625
ARM,1999,728513433.240239,1922756811.39087,10267.4189453125
ARM,2000,865178780.420164,2057797003.98743,10510.390625
ARM,2001,1101052795.38332,2199127349.96548,11114.84375
ARM,2002,1480030448.07267,2600444404.2104,12028.68359375
ARM,2003,1932260184.51065,3313186299.80177,13692.392578125
ARM,2004,1883866208.70103,3204883974.68758,14584.177734375
ARM,2005,2190703815.3585,3658593816.25619,16196.87109375
ARM,2006,2029926239.12067,3796192331.62098,18483.001953125
ARM,2007,1958711760.82819,4289499574.18325,21014.271484375
ARM,2008,1702512547.33145,4601694176.49079,22963.068359375
ARM,2009,1524844205.45858,3720302973.40854,21363.990234375
ARM,2010,1928927462.22841,4196501904.80396,23659.970703125
ARM,2011,2216304411.51627,4099983711.8896,26272.908203125
ARM,2012,2418776615.46047,3987953329.61664,27215.4140625
ARM,2013,2626791404.39007,3904206309.69469,27434.833984375
ARM,2014,2794906054.18219,3865164246.52436,28157.279296875
ARM,2015,2931856450.83218,3281524445.39845,27191.951171875
ARM,2016,3491841033.00632,3530920303.30126,27437.775390625
ARM,2017,4144815306.18447,4399526697.85427,29838.6640625
ARM,2018,4265014950.14608,4962666115.07147,
ARM,2019,,,
ASM,1960,,,
ASM,1961,,,
ASM,1962,,,
ASM,1963,,,
ASM,1964,,,
ASM,1965,,,
ASM,1966,,,
ASM,1967,,,
ASM,1968,,,
ASM,1969,,,
ASM,1970,,,
ASM,1971,,,
ASM,1972,,,
ASM,1973,,,
ASM,1974,,,
ASM,1975,,,
ASM,1976,,,
ASM,1977,,,
ASM,1978,,,
ASM,1979,,,
ASM,1980,,,
ASM,1981,,,
ASM,1982,,,
ASM,1983,,,
ASM,1984,,,
ASM,1985,,,
ASM,1986,,,
ASM,1987,,,
ASM,1988,,,
ASM,1989,,,
ASM,1990,,,
ASM,1991,,,
ASM,1992,,,
ASM,1993,,,
ASM,1994,,,
ASM,1995,,,
ASM,1996,,,
ASM,1997,,,
ASM,1998,,,
ASM,1999,,,
ASM,2000,,,
ASM,2001,,,
ASM,2002,679031390.134529,848981781.376518,
ASM,2003,665156950.672646,843546558.704453,
ASM,2004,556609865.470852,733755060.728745,
ASM,2005,585174887.892377,734842105.263158,
ASM,2006,5.46e+08,706578947.368421,
ASM,2007,553345291.479821,680489878.54251,
ASM,2008,550896860.986547,694621457.489879,
ASM,2009,432556053.811659,604396761.133603,
ASM,2010,3.64e+08,5.37e+08,
ASM,2011,321560538.116592,500040485.82996,
ASM,2012,336251121.076233,520694331.983806,
ASM,2013,334618834.080718,5.37e+08,
ASM,2014,349309417.040359,596787449.392712,
ASM,2015,375426008.96861,625050607.287449,
ASM,2016,370529147.982063,606570850.202429,
ASM,2017,290547085.201794,530477732.793522,
