Year,iso3c,FDI_Inward_Flow_USD_current_millions,FDI_Inward_Flow_USD_current_pc,FDI_Inward_Flow_perc_total_world,FDI_Inward_Flow_perc_GDP,FDI_Inward_Flow_perc_GFCF,FDI_Outward_Flow_USD_current_millions,FDI_Outward_Flow_USD_current_pc,FDI_Outward_Flow_perc_total_world,FDI_Outward_Flow_perc_GDP,FDI_Outward_Flow_perc_GFCF,FDI_Inward_Stock_USD_current_millions,FDI_Inward_Stock_USD_current_pc,FDI_Inward_Stock_perc_total_world,FDI_Inward_Stock_perc_GDP,FDI_Inward_Stock_perc_GFCF,FDI_Outward_Stock_USD_current_millions,FDI_Outward_Stock_USD_current_pc,FDI_Outward_Stock_perc_total_world,FDI_Outward_Stock_perc_GDP,FDI_Outward_Stock_perc_GFCF
1970,AFG,0,0,0.241,0.24,0.24,,,,,,,,,,,,,,,
1970,DZA,80,80,80.12,80.12,80.12,2,2,2,2,2,,,,,,,,,,
1970,AGO,2,2,2.4,2.4,2.4,,,,,,,,,,,,,,,
1970,ARG,90,90,89.77,89.77,89.77,2,2,1.817,1.82,1.82,,,,,,,,,,
1970,AUS,893,893,893.139,893.14,893.14,111,111,111.364,111.36,111.36,,,,,,,,,,
1970,AUT,113,113,112.65,112.65,112.65,9,9,8.65,8.65,8.65,,,,,,,,,,
1970,BHS,474,474,474.273,474.27,474.27,,,,,,,,,,,,,,,
1970,BRB,36,36,36.259,36.26,36.26,1,1,0.804,0.8,0.8,,,,,,,,,,
1970,BEL,314,314,314,314,314,174,174,174,174,174,,,,,,,,,,
1970,BOL,20,20,19.764,19.76,19.76,,,,,,,,,,,,,,,
1970,BRA,392,392,391.7,391.7,391.7,14,14,14,14,14,,,,,,,,,,
1970,BLZ,112,112,111.798,111.8,111.8,,,,,,,,,,,,,,,
1970,BRN,974,974,973.811,973.81,973.81,,,,,,,,,,,,,,,
1970,BDI,1,1,1.031,1.03,1.03,,,,,,,,,,,,,,,
1970,KHM,0,0,0.14,0.14,0.14,,,,,,,,,,,,,,,
1970,CMR,16,16,16,16,16,,,,,,,,,,,,,,,
1970,CAN,1823,1823,1823.124,1823.12,1823.12,931,931,931.181,931.18,931.18,,,,,,,,,,
1970,CAF,2,2,2.418,2.42,2.42,,,,,,,,,,,,,,,
1970,LKA,0,0,-0.002,0,0,,,,,,,,,,,,,,,
1970,TCD,2,2,1.502,1.5,1.5,,,,,,,,,,,,,,,
1970,CHL,12,12,12.33,12.33,12.33,,,,,,,,,,,,,,,
1970,TWN,62,62,62,62,62,1,1,1,1,1,,,,,,,,,,
1970,COL,43,43,43,43,43,4,4,4,4,4,,,,,,,,,,
1970,COG,5,5,5.1,5.1,5.1,,,,,,,,,,,,,,,
1970,COD,6,6,6.43,6.43,6.43,,,,,,,,,,,,,,,
1970,CRI,26,26,26.345,26.35,26.35,,,,,,,,,,,,,,,
1970,CYP,33,33,32.919,32.92,32.92,,,,,,,,,,,,,,,
1970,BEN,13,13,13.481,13.48,13.48,,,,,,,,,,,,,,,
1970,DNK,104,104,104,104,104,29,29,29,29,29,,,,,,,,,,
1970,DOM,72,72,71.6,71.6,71.6,,,,,,,,,,,,,,,
1970,ECU,89,89,88.6,88.6,88.6,,,,,,,,,,,,,,,
1970,SLV,4,4,3.7,3.7,3.7,,,,,,,,,,,,,,,
1970,ETH,4,4,3.9,3.9,3.9,,,,,,,,,,,,,,,
1970,FJI,12,12,12.321,12.32,12.32,,,,,,,,,,,,,,,
1970,FIN,18,18,18,18,18,52,52,52,52,52,,,,,,,,,,
1970,FRA,621,621,621.213,621.21,621.21,365,365,364.933,364.93,364.93,,,,,,,,,,
1970,GAB,0,0,-0.005,-0.01,-0.01,,,,,,,,,,,,,,,
1970,GMB,1,1,0.548,0.55,0.55,,,,,,,,,,,,,,,
1970,DEU,770,770,770,770,770,1070,1070,1070,1070,1070,,,,,,,,,,
1970,GHA,68,68,67.8,67.8,67.8,,,,,,,,,,,,,,,
1970,GRC,50,50,50,50,50,,,,,,,,,,,,,,,
1970,GTM,29,29,29.4,29.4,29.4,,,,,,,,,,,,,,,
1970,GUY,15,15,14.766,14.77,14.77,,,,,,,,,,,,,,,
1970,HTI,5,5,5.448,5.45,5.45,,,,,,,,,,,,,,,
1970,HND,8,8,8.4,8.4,8.4,,,,,,,,,,,,,,,
1970,HKG,50,50,49.822,49.82,49.82,,,,,,,,,,,,,,,
1970,ISL,22,22,22.013,22.01,22.01,,,,,,,,,,,,,,,
1970,IND,45,45,45.46,45.46,45.46,,,,,,,,,,,,,,,
1970,IRN,28,28,28,28,28,,,,,,,,,,,,,,,
1970,IRQ,0,0,-0.007,-0.01,-0.01,,,,,,,,,,,,,,,
1970,IRL,32,32,32,32,32,,,,,,,,,,,,,,,
1970,ISR,49,49,49,49,49,9,9,9,9,9,,,,,,,,,,
1970,ITA,624,624,624.16,624.16,624.16,114,114,114.24,114.24,114.24,,,,,,,,,,
1970,CIV,31,31,30.7,30.7,30.7,,,,,,,,,,,,,,,
1970,JAM,162,162,162.1,162.1,162.1,1,1,1,1,1,,,,,,,,,,
1970,JPN,94,94,94,94,94,355,355,355,355,355,,,,,,,,,,
1970,KEN,14,14,13.8,13.8,13.8,,,,,,,,,,,,,,,
1970,KOR,66,66,66,66,66,,,,,,,,,,,,,,,
1970,KWT,35,35,34.803,34.8,34.8,,,,,,,,,,,,,,,
1970,LAO,1,1,1.105,1.1,1.1,,,,,,,,,,,,,,,
1970,LBR,92,92,92.029,92.03,92.03,,,,,,,,,,,,,,,
1970,LBY,317,317,317.22,317.22,317.22,,,,,,,,,,,,,,,
1970,MDG,10,10,10,10,10,,,,,,,,,,,,,,,
1970,MWI,9,9,8.6,8.6,8.6,,,,,,,,,,,,,,,
1970,MYS,94,94,94,94,94,,,,,,,,,,,,,,,
1970,MLT,36,36,36.24,36.24,36.24,,,,,,,,,,,,,,,
1970,MRT,1,1,1.156,1.16,1.16,,,,,,,,,,,,,,,
1970,MUS,6,6,6.113,6.11,6.11,,,,,,,,,,,,,,,
1970,MEX,312,312,312.107,312.11,312.11,,,,,,,,,,,,,,,
1970,MAR,20,20,20,20,20,,,,,,,,,,,,,,,
1970,MOZ,0,0,0.3,0.3,0.3,,,,,,,,,,,,,,,
1970,OMN,8,8,8.175,8.17,8.17,,,,,,,,,,,,,,,
