year,inflation,Trade_to_GDP,Exports_to_GDP,Imports_to_GDP,population,Exports_USD_current,Exports_USD_constant,Imports_USD_current,Imports_USD_constant,iso3c,IncomeGroup
2006,,,,,80993,,,,,AND,High income
2004,,,,,76244,,,,,AND,High income
2005,,,,,78867,,,,,AND,High income
2010,,,,,84449,,,,,AND,High income
2007,,,,,82684,,,,,AND,High income
2008,,,,,83862,,,,,AND,High income
2009,,,,,84463,,,,,AND,High income
2001,,,,,67341,,,,,AND,High income
2002,,,,,70049,,,,,AND,High income
2003,,,,,73182,,,,,AND,High income
1990,,,,,54509,,,,,AND,High income
1991,,,,,56671,,,,,AND,High income
1992,,,,,58888,,,,,AND,High income
1993,,,,,60971,,,,,AND,High income
1994,,,,,62677,,,,,AND,High income
1995,,,,,63850,,,,,AND,High income
1996,,,,,64360,,,,,AND,High income
1997,,,,,64327,,,,,AND,High income
1998,,,,,64142,,,,,AND,High income
1999,,,,,64370,,,,,AND,High income
2000,,,,,65390,,,,,AND,High income
1960,,,,,13411,,,,,AND,High income
1961,,,,,14375,,,,,AND,High income
1962,,,,,15370,,,,,AND,High income
1963,,,,,16412,,,,,AND,High income
1964,,,,,17469,,,,,AND,High income
1965,,,,,18549,,,,,AND,High income
1966,,,,,19647,,,,,AND,High income
1967,,,,,20758,,,,,AND,High income
1968,,,,,21890,,,,,AND,High income
1969,,,,,23058,,,,,AND,High income
2011,,,,,83747,,,,,AND,High income
2012,,,,,82427,,,,,AND,High income
2013,,,,,80774,,,,,AND,High income
2014,,,,,79213,,,,,AND,High income
2015,,,,,78011,,,,,AND,High income
2016,,,,,77297,,,,,AND,High income
2017,,,,,77001,,,,,AND,High income
2018,,,,,77006,,,,,AND,High income
2019,,,,,,,,,,AND,High income
1979,,,,,34818,,,,,AND,High income
1980,,,,,36067,,,,,AND,High income
1981,,,,,37500,,,,,AND,High income
1982,,,,,39114,,,,,AND,High income
1983,,,,,40867,,,,,AND,High income
1984,,,,,42706,,,,,AND,High income
1985,,,,,44600,,,,,AND,High income
1986,,,,,46517,,,,,AND,High income
1987,,,,,48455,,,,,AND,High income
1988,,,,,50434,,,,,AND,High income
1989,,,,,52448,,,,,AND,High income
1976,,,,,31777,,,,,AND,High income
1977,,,,,32771,,,,,AND,High income
1978,,,,,33737,,,,,AND,High income
1970,,,,,24276,,,,,AND,High income
1971,,,,,25559,,,,,AND,High income
1972,,,,,26892,,,,,AND,High income
1973,,,,,28232,,,,,AND,High income
1974,,,,,29520,,,,,AND,High income
1975,,,,,30705,,,,,AND,High income
1976,,,,,637922,,,,,ARE,High income
1977,,,,,735344,,,,,ARE,High income
1974,,,,,467451,,,,,ARE,High income
1975,,,,,548301,,,,,ARE,High income
1971,,,,,277471,,,,,ARE,High income
1972,,,,,330974,,,,,ARE,High income
1973,,,,,394624,,,,,ARE,High income
1987,,,,,1533536,,,,,ARE,High income
1988,,,,,1627066,,,,,ARE,High income
1989,,,,,1725681,,,,,ARE,High income
1990,,,,,1828432,,,,,ARE,High income
1978,,,,,835508,,,,,ARE,High income
1979,,,,,931749,,,,,ARE,High income
1980,,,,,1019509,,,,,ARE,High income
1981,,,,,1096610,,,,,ARE,High income
1982,,,,,1164806,,,,,ARE,High income
1983,,,,,1228459,,,,,ARE,High income
1984,,,,,1293971,,,,,ARE,High income
1985,,,,,1366164,,,,,ARE,High income
1986,,,,,1446380,,,,,ARE,High income
1960,,,,,92418,,,,,ARE,High income
1961,,,,,100796,,,,,ARE,High income
1962,,,,,112118,,,,,ARE,High income
1963,,,,,125130,,,,,ARE,High income
1964,,,,,138039,,,,,ARE,High income
1965,,,,,149857,,,,,ARE,High income
1966,,,,,159976,,,,,ARE,High income
1967,,,,,169771,,,,,ARE,High income
1968,,,,,182627,,,,,ARE,High income
1969,,,,,203106,,,,,ARE,High income
1970,,,,,234514,,,,,ARE,High income
2010,0.879216764156813,143.877531844201,82.2424180920917,61.6351137521095,8549988,238328114363.513,238328114363.513,178610755616.065,178610755616.065,ARE,High income
2011,0.877346595685083,151.665953575846,90.0765712005007,61.5893823753457,8946777,315867937372.362,276618443616.841,215973042886.317,212560257876.316,ARE,High income
2012,0.662268900269082,164.249347960724,100.246495561481,64.0028523992429,9141596,375513955071.477,324899395463.943,239748672566.372,230764453235.745,ARE,High income
2013,1.10111836375706,165.275953290011,100.547788395094,64.7281648949165,9197910,392244520081.688,344697128193.223,252509462219.197,249285984897.987,ARE,High income
2014,2.34626865671643,168.492307775439,99.5608302752883,68.9314775001503,9214175,401366643975.494,350908898904.324,277888359428.182,273877528217.062,ARE,High income
2015,4.06996608361598,175.221307567909,100.870480235332,74.3508273325776,9262900,361252552756.978,369123708931.842,266276378488.768,258206735398.742,ARE,High income
2016,1.61592503870255,176.747648042171,101.003013922614,75.7446341195563,9360980,360626276378.489,381692661333.394,270442477876.106,265057017908.422,ARE,High income
2017,1.96887556815799,178.666803902654,101.679239891984,76.9875640106705,9487203,384043567052.417,392592148886.391,290782845473.111,272883866575.902,ARE,High income
2018,3.0681470568773,161.839789981026,93.8614242823705,67.9783656986559,9630959,388754254594.963,395892718227.289,281552076242.342,264151395507.148,ARE,High income
2019,,,,,,,,,,ARE,High income
1993,,,,,2173139,,,,,ARE,High income
1994,,,,,2294385,,,,,ARE,High income
1995,,,,,2415090,,,,,ARE,High income
1996,,,,,2539126,,,,,ARE,High income
1997,,,,,2671362,,,,,ARE,High income
1998,,,,,2813214,,,,,ARE,High income
1999,,,,,2966034,,,,,ARE,High income
2000,,,,,3134062,,,,,ARE,High income
2001,,89.8645799289427,49.1592253276122,40.7053546013305,3302719,50787202178.3526,97554285064.6698,42053369639.2104,70576260258.6794,ARE,High income
2002,,93.0716588147781,49.5033473840813,43.5683114306968,3478777,54362695711.3683,100627643784.888,47845064669.8434,79707651953.71,ARE,High income
2003,,102.300169490783,55.9231992151745,46.3769702756087,3711932,69538461538.4615,123681634336.283,57668073519.401,92451884547.3111,ARE,High income
1991,,,,,1937153,,,,,ARE,High income
1992,,,,,2052891,,,,,ARE,High income
2006,,119.470669577786,68.6277976715135,50.8428719062721,5300174,152433690946.222,191527730047.651,112930428863.172,162942321443.159,ARE,High income
2007,,136.798152865771,72.3840975003088,64.4140553654625,6168838,186690265486.726,208443584424.779,166134240980.259,219093072756.978,ARE,High income
2008,12.2504202448139,148.513544025723,78.86788870154,69.6456553241827,7089487,248808168822.328,234364012280.463,219714363512.594,265974850211.028,ARE,High income
2009,1.55980098148558,153.461944358373,79.6533178621862,73.8086264961866,7917372,201958883594.282,224288104452.008,187139823008.85,224338361933.288,ARE,High income
2005,,119.55287164912,67.5853113937653,51.9675602553546,4588225,122070878148.4,171725627746.767,93862491490.8101,137858554717.495,ARE,High income
2004,,116.622612523831,63.5677298138648,53.0548827099662,4068570,93968596324.0299,154038530319.946,78428046289.9932,119945169448.604,ARE,High income
2006,6.78459655001657,99.822209700771,25.3178084241677,74.5044012766033,26433049,1764977019.43645,,5193915440.74376,,AFG,Low income
2007,8.68057078513406,81.3934554182836,19.1176988860867,62.2757565321969,27100536,1863571513.22321,,6070569817.49452,,AFG,Low income
2005,12.6862687216715,99.2229940825081,28.448347745716,70.7746463367921,25654277,1766397751.7371,,4394496906.70081,,AFG,Low income
2010,2.1785375238942,81.3244846219533,18.5741706990603,62.750313922893,29185507,2945227257.64192,2945227257.64192,9950050421.39738,9950050421.39738,AFG,Low income
2011,11.8041858089129,88.7796609855522,21.9049520576614,66.8747089278908,30117413,3900019116.08459,,11906560786.5663,,AFG,Low income
2008,26.4186641547444,100.069957848297,26.9485914693821,73.1213663789153,27722276,2724291877.8378,,7391998381.39254,,AFG,Low income
2009,-6.81116108898995,89.3648737730075,22.7003233834436,66.6645503895639,28394813,2823712992.37417,,8292461472.29283,,AFG,Low income
2001,,,,,21606988,,,,,AFG,Low income
2002,,103.10920283776,32.7798412726062,70.3293615651536,22600770,1329280562.08171,,2851980047.57582,,AFG,Low income
2003,,116.36254161986,44.3689481305496,71.9935934893108,23680871,2003507988.88237,,3250916367.90168,,AFG,Low income
2004,,91.5855106689597,30.9215873752968,60.6639232936629,24726684,1616201849.03075,,3170766875.79778,,AFG,Low income
1991,,,,,13299017,,,,,AFG,Low income
1992,,,,,14485546,,,,,AFG,Low income
1993,,,,,15816603,,,,,AFG,Low income
1994,,,,,17075727,,,,,AFG,Low income
1995,,,,,18110657,,,,,AFG,Low income
1996,,,,,18853437,,,,,AFG,Low income
1997,,,,,19357126,,,,,AFG,Low income
1998,,,,,19737765,,,,,AFG,Low income
1999,,,,,20170844,,,,,AFG,Low income
2000,,,,,20779953,,,,,AFG,Low income
1960,,11.157026581176,4.13223321494422,7.02479336623182,8996973,22222233.3333333,,37777780,,AFG,Low income
1961,,12.5506095641626,4.45344326574765,8.09716629841498,9169410,24444455.5555556,,44444446.6666667,,AFG,Low income
1962,,14.2276444262674,4.87805112036481,9.34959330590257,9351441,26666680,,51111111.1111111,,AFG,Low income
1963,,26.0355114281704,9.171601094149,16.8639103340214,9543205,68888922.2222222,,126666717.777778,,AFG,Low income
1964,,26.9444479475307,8.88889256172819,18.0555553858025,9744781,71111144.4444444,,144444451.111111,,AFG,Low income
1965,,32.6710826152849,11.2582791310323,21.4128034842526,9956320,113333340,,215555548.888889,,AFG,Low income
1966,,27.1428573129252,8.57142877551021,18.571428537415,10174836,1.2e+08,,259999993.333333,,AFG,Low income
1967,,20.9827354616946,6.77290842314672,14.2098270385479,10399926,113333340,,237777784.444444,,AFG,Low income
1968,,24.110033071763,8.89967664482985,15.2103564269331,10637063,122222228.888889,,208888900,,AFG,Low income
1969,,25.0788642331499,10.0946369851427,14.9842272480072,10893776,142222222.222222,,211111117.777778,,AFG,Low income
1970,,21.7281100678648,9.78400228346932,11.9441077843955,11173642,171111104.444444,,208888900,,AFG,Low income
2012,6.44121280934118,81.5868017044665,18.9665412856843,62.6202604187823,31161376,3793614716.3624,,12525063894.8306,,AFG,Low income
2013,7.38577178397857,74.7439088952975,19.5915817114032,55.1523271838943,32269589,4028235712.84642,,11339899824.3946,,AFG,Low income
2014,4.67399603536339,67.1959247512852,15.7823773876924,51.4135473635928,33370794,3233000000.58228,,10532000000.5865,,AFG,Low income
2015,-0.661709164713696,55.1255265979591,11.6879840129778,43.4375425849813,34413603,2326740000.09768,,8647160000.06512,,AFG,Low income
2016,4.38389195513914,47.6590554256105,5.93336084187306,41.7256945837375,35383128,1148855434.20128,,8079196975.52337,,AFG,Low income
2017,4.9759515055383,51.2368807956764,5.90481551542003,45.3320652802564,36296400,1192286469.02372,,9153344063.90936,,AFG,Low income
2018,,,,,37172386,,,,,AFG,Low income
2019,,,,,,,,,,AFG,Low income
1979,,,,,13411056,,,,,AFG,Low income
1980,,,,,13356511,,,,,AFG,Low income
1981,,,,,13171673,,,,,AFG,Low income
1982,,,,,12882528,,,,,AFG,Low income
1983,,,,,12537730,,,,,AFG,Low income
1984,,,,,12204292,,,,,AFG,Low income
1985,,,,,11938208,,,,,AFG,Low income
1986,,,,,11736179,,,,,AFG,Low income
1987,,,,,11604534,,,,,AFG,Low income
1988,,,,,11618005,,,,,AFG,Low income
1989,,,,,11868877,,,,,AFG,Low income
1990,,,,,12412308,,,,,AFG,Low income
