ccode,period,Year,rgdpo,hc,inv_share,Penn_GDP_PPP,Penn_GDP_PPP_log,pop_log,GDP_pc_growth,pop_growth,KOF_econ,KOF_defacto,KOF_dejure,KOF_trade,KOF_trade_df,KOF_trade_dj,KOF_finance,KOF_finance_df,KOF_finance_dj,inflation,Trade_to_GDP,EXP_to_GDP,IMP_to_GDP,population,Exports_USD_current,Exports_USD_constant,Imports_USD_current,Imports_USD_constant,CTS,Lietal,Alcala,KAOPEN,chinn_ito_normed,LMF_FDI_total_stocks_GDP,LMF_open,LMF_EQ,UNC_FDI_in_stock_GDP,UNC_FDI_out_stock_GDP,UNC_FDI_total_stocks_GDP,FTI_panel,FTI_original,FTI_reduced,Tariff_RES,Tariff_WITS,HF_econ,HF_fin,HF_trade,FTI_original_ipo,FTI_reduced_ipo,Tariff_WITS_ipo,LMF_open_pv,FIN_CUR,CAPITAL,first_year
ABW,"(1955,1960]",1960,,,,,,,,,,,,,,,,,,,,,,54211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960
ABW,"(1960,1965]",1963,,,,,,,,,,,,,,,,,,,,,,56550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961
ABW,"(1965,1970]",1968,427.473602294922,,54.0292024612427,7.2375871764181,1.97928788792752,-2.82915062945712,,,,,,,,,,,,,,,,58389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966
ABW,"(1970,1975]",1973,559.130169677734,,52.5777125358582,9.28910916104583,2.22215572964179,-2.81108143407694,8.16532745652298,0.532607352183616,,,,,,,,,,,,,,60141.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1971
ABW,"(1975,1980]",1978,863.769030761719,,50.8859556913376,14.3477528855764,2.65565086100418,-2.80965445239945,8.88431161650759,-0.185834874014237,,,,,,,,,,,,,,60226.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976
ABW,"(1980,1985]",1983,1334.43303222656,,49.2863428592682,21.4912882200119,3.06176242472237,-2.7808131863549,7.7486363674563,0.952082447890472,,,,,,,,,,4.03225805628627,,,,61995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1981
ABW,"(1985,1990]",1988,2284.16413574219,,45.8804398775101,37.0237549633089,3.59573654407807,-2.78475403104518,11.9380829041928,-0.280253547857328,56.3873878479004,63.8314346313477,,73.7922744750977,73.3304443359375,,43.2527961730957,54.3324256896973,25.3178424835205,3.533439232036,,,,61747.4,,,,,,,364792.320102631,,,165.4,0,1178.4,702.9625,,,,,,,,,,,,,,,,,1986
ABW,"(1990,1995]",1993,3540.71528320313,,42.4548602104187,48.5777870960131,3.878721082968,-2.62753037892474,1.98999810106653,5.13067514224727,59.0526031494141,67.4033050537109,,84.1027038574219,85.9459533691406,,40.1562545776367,48.8606521606445,26.5877662658691,4.86339233435821,171.38747276458,84.9110485901043,86.4764241744759,72477,1121229050.27933,,1141899441.34078,,26.0873143649439,0.454156078460331,992988.58865,-0.141151502728462,0.416441917419434,474.6,0,1916.2,4053.498,5173.038,9226.536,,,,,,,,,,,,130.5312576,,,1991
ABW,"(1995,2000]",1998,4264.09731445313,,36.7866146564484,48.9949140537093,3.88938247224846,-2.44051271717719,-3.16173901146621,2.46348640738094,59.2000267028809,73.8625961303711,,84.8189453125,86.504476928711,,39.8914054870605,61.2207221984863,7.19412212371826,2.8838235801144,163.40823395267,80.628974966956,82.7792589857138,87157.2,1311396648.04469,,1344022346.36872,,22.0420666801424,0.319169286176036,965772.350472281,-1.21001923084259,0.165725812315941,1017.8,94.8,2746.4,8896.29,5658.006,14554.296,,,,,,,,,,,,162.87576602,,,1996
ABW,"(2000,2005]",2003,3716.40961914063,,38.9215141534805,38.4641270644057,3.64328732259402,-2.3361311081914,5.63794185122759,1.92474751161722,67.2219161987305,80.902197265625,,84.9467483520508,86.0565689086914,,53.7312881469727,75.7478286743164,18.9663635253906,3.15660006520688,137.491975524676,66.4301542720827,71.0618212525937,96735,1387486033.51955,,1488044692.73743,,24.1444586633873,0.315787959895966,1604349.83793226,-1.21001923084259,0.165725812315941,2209.8,228.6,4658,15934.824,6827.99,22762.814,,,,,,,,,,,,206.02415162,,,2001
